id_flow,nw_src,tp_src,nw_dst,tp_dst,nw_proto,forward_pc,forward_bc,forward_pl,forward_piat,forward_pps,forward_bps,forward_pl_mean,forward_piat_mean,forward_pps_mean,forward_bps_mean,forward_pl_var,forward_piat_var,forward_pps_var,forward_bps_var,forward_pl_q1,forward_pl_q3,forward_piat_q1,forward_piat_q3,forward_pl_max,forward_pl_min,forward_piat_max,forward_piat_min,forward_pps_max,forward_pps_min,forward_bps_max,forward_bps_min,forward_duration,forward_size_packets,forward_size_bytes,reverse_pc,reverse_bc,reverse_pl,reverse_piat,reverse_pps,reverse_bps,reverse_pl_mean,reverse_piat_mean,reverse_pps_mean,reverse_bps_mean,reverse_pl_var,reverse_piat_var,reverse_pps_var,reverse_bps_var,reverse_pl_q1,reverse_pl_q3,reverse_piat_q1,reverse_piat_q3,reverse_pl_max,reverse_pl_min,reverse_piat_max,reverse_piat_min,reverse_pps_max,reverse_pps_min,reverse_bps_max,reverse_bps_min,reverse_duration,reverse_size_packets,reverse_size_bytes,category
b2bb77a570fcfa9325eb9e51b6116d2a,172.16.25.104,41402,34.107.221.82,80,6,5,300,60,6,0.166666667,10,75.55,8.083333333,0.132526882,10.54327957,725.4075,4.354166667,0.001166826,34.96825377,60,75.55,6,10.08333333,122.2,60,10.33333333,6,0.166666667,0.096774194,20.36666667,5.806451613,121,16,1271,5,300,60,6,0.166666667,10,73375,8.458333333,0.124193548,9.234946237,536.671875,3.213541667,0.000806163,14.39893254,60,73375,7125,10.08333333,113.5,60,10.33333333,6,0.166666667,0.096774194,15.13333333,5.806451613,121,15,1114,WWW
f07977b0d1d6645c4fe1e9efea080ff3,172.16.25.104,41406,34.107.221.82,80,6,5,300,60,6,0.166666667,10,75.8,8.083333333,0.132526882,10.58494624,748.92,4.354166667,0.001166826,35.7920777,60,75.8,6,10.08333333,123.2,60,10.33333333,6,0.166666667,0.096774194,20.53333333,5.806451613,121,16,1276,5,300,60,6.2,0.161290323,9.677419355,73375,8425,0.123655914,9.202688172,536.671875,2.691875,0.000657301,13.97808619,60,73375,7175,10,113.5,60,10,6.2,0.161290323,0.1,15.13333333,6,121,15,1114,WWW
e4026ba9b6c1957516e92bdd0d04878f,172.16.25.104,38232,52.84.77.43,443,6,3,198,66,10,0.1,6.6,62,10.11111111,0.098924731,6.135483871,8,0.024691358,2.31E-06,0.114131113,60,63,10,10.16666667,66,60,10.33333333,10,0.1,0.096774194,6.6,5.806451613,91,9,558,3,180,60,10,0.1,6,60,10.11111111,0.098924731,5.935483871,0,0.024691358,2.31E-06,0.008324662,60,60,10,10.16666667,60,60,10.33333333,10,0.1,0.096774194,6,5.806451613,91,9,540,WWW
e2d747932e41500b1463fe8ae4299ecb,172.16.25.104,38234,52.84.77.43,443,6,3,198,66,10,0.1,6.6,62,10.11111111,0.098924731,6.135483871,8,0.024691358,2.31E-06,0.114131113,60,63,10,10.16666667,66,60,10.33333333,10,0.1,0.096774194,6.6,5.806451613,91,9,558,3,180,60,10,0.1,6,60,10.11111111,0.098924731,5.935483871,0,0.024691358,2.31E-06,0.008324662,60,60,10,10.16666667,60,60,10.33333333,10,0.1,0.096774194,6,5.806451613,91,9,540,WWW
56325703391225ad65e013e7a2b02fac,172.16.25.104,60166,52.32.34.32,443,6,4,265,66.25,7.5,0.133333333,8.833333333,66.25,7.5,0.133333333,8.833333333,0,0,0,0,66.25,66.25,7.5,7.5,66.25,66.25,7.5,7.5,0.133333333,0.133333333,8.833333333,8.833333333,30,4,265,4,265,66.25,7.75,0.129032258,8.548387097,66.25,7.75,0.129032258,8.548387097,0,0,0,0,66.25,66.25,7.75,7.75,66.25,66.25,7.75,7.75,0.129032258,0.129032258,8.548387097,8.548387097,31,4,265,WWW
7c470792f8382287ffa939b54abe39a1,172.16.25.104,47356,192.16.58.8,80,6,4,240,60,7.5,0.133333333,8,111.0089286,7.032738095,0.202822581,33.40510753,5046.036272,7.245597718,0.03210167,2831.839876,60,162.0178571,6.732142857,8125,257,60,10.33333333,1.5,0.666666667,0.096774194,171.3333333,5.806451613,242,49,8062,4,240,60,7.5,0.133333333,8,166.9145833,7.75,0.190456989,54.07137097,21617.16357,8.465277778,0.033329413,9303.984083,60,273.8541667,6.916666667,10,456.4,60,10.33333333,1.5,0.666666667,0.096774194,304.2666667,5.806451613,242,46,13045,WWW
3faf9ae90a8890572e15eccdbbae4cd9,172.16.25.104,33978,54200217149,443,6,6,385,64.16666667,5,0.2,12.83333333,64.16666667,5,0.2,12.83333333,0,0,0,0,64.16666667,64.16666667,5,5,64.16666667,64.16666667,5,5,0.2,0.2,12.83333333,12.83333333,30,6,385,6,385,64.16666667,5.166666667,0.193548387,12.41935484,64.16666667,5.166666667,0.193548387,12.41935484,0,0,0,0,64.16666667,64.16666667,5.166666667,5.166666667,64.16666667,64.16666667,5.166666667,5.166666667,0.193548387,0.193548387,12.41935484,12.41935484,31,6,385,WWW
91bea0a2e15fe369ebcc0461129b9ab8,172.16.25.104,51860,99.84.160.120,443,6,4,258,64.5,7.5,0.133333333,8.6,61.5,10.83333333,0.1,6.2,4.5,9.722222222,0.000740741,3.546666667,60,62.25,8.75,12.5,64.5,60,15,7.5,0.133333333,0.066666667,8.6,4,90,9,558,4,240,60,7.5,0.133333333,8,60,11,0.099283154,5.956989247,0,11.16666667,0.000789558,2.842409527,60,60,8.75,12.75,60,60,15.5,7.5,0.133333333,0.064516129,8,3.870967742,91,9,540,WWW
d10ec90ad4a9fef707fff5e052558db9,172.16.25.104,51040,172.217.28.67,80,6,3,180,60,10,0.1,6,60,10.11111111,0.098924731,5.935483871,0,0.024691358,2.31E-06,0.008324662,60,60,10,10.16666667,60,60,10.33333333,10,0.1,0.096774194,6,5.806451613,91,9,540,3,180,60,10,0.1,6,60,10.11111111,0.098924731,5.935483871,0,0.024691358,2.31E-06,0.008324662,60,60,10,10.16666667,60,60,10.33333333,10,0.1,0.096774194,6,5.806451613,91,9,540,WWW
b87f199764d4c424caefda065eb37a78,172.16.25.104,46978,52.43.72.100,443,6,8,505,63125,3875,0.258064516,16.29032258,63125,3875,0.258064516,16.29032258,0,0,0,0,63125,63125,3875,3875,63125,63125,3875,3875,0.258064516,0.258064516,16.29032258,16.29032258,31,8,505,8,580,72.5,3.75,0.266666667,19.33333333,72.5,3.75,0.266666667,19.33333333,0,0,0,0,72.5,72.5,3.75,3.75,72.5,72.5,3.75,3.75,0.266666667,0.266666667,19.33333333,19.33333333,30,8,580,WWW
3dac57bcaed702bd8cf5d80901d1f822,172.16.25.104,47376,192.16.58.8,80,6,3,180,60,10.33333333,0.096774194,5.806451613,60,10.11111111,0.098924731,5.935483871,0,0.024691358,2.31E-06,0.008324662,60,60,10,10.16666667,60,60,10.33333333,10,0.1,0.096774194,6,5.806451613,91,9,540,3,180,60,10.33333333,0.096774194,5.806451613,60,10.11111111,0.098924731,5.935483871,0,0.024691358,2.31E-06,0.008324662,60,60,10,10.16666667,60,60,10.33333333,10,0.1,0.096774194,6,5.806451613,91,9,540,WWW
